player_name,delta_diff,delta_avg,MLBAMID
"Devenski, Chris",0.05892736906188884,-0.02731759936926258,606965
"Pilkington, Konnor",0.0028500000000000088,-0.027275000000000004,663455
"Boushley, Caleb",0.09068421052631578,-0.02707894736842105,676961
"Hembree, Heath",0.014666666666666654,-0.026666666666666665,592390
"Wynne, Randy",0.04194117647058824,-0.026558823529411767,691094
"Stewart, Brock",0.029686885753423015,-0.026159079799025455,592779
"Saalfrank, Andrew",0.00860855654761905,-0.026117596726190476,685314
"Kerr, Ray",0.029552592455059562,-0.025973703772470217,678061
"Antone, Tejay",0.014435897435897432,-0.025910256410256412,622088
"Moll, Sam",0.03869646376529019,-0.0258839143643586,594580
"Jiménez, Joe",0.037956521435229484,-0.02580523403944138,641729
"Armstrong, Shawn",0.02289835849100558,-0.02540477097094742,542888
"Smith, Will",0.017672213928375726,-0.02527142295687146,519293
